filename,asymmetry_score,rotations_used
PAT_1000_31_620_mask.png,0.3436,8
PAT_1006_53_385_mask.png,0.4838,8
PAT_1006_53_716_mask.png,0.6881,8
PAT_1008_59_297_mask.png,0.2167,8
PAT_100_393_898_mask.png,0.2471,8
PAT_1013_82_876_mask.png,0.068,8
PAT_1014_86_861_mask.png,0.1782,8
PAT_1017_97_577_mask.png,0.1472,8
PAT_1018_107_68_mask.png,0.3697,8
PAT_101_1041_651_mask.png,0.1851,8
PAT_101_1041_658_mask.png,0.1545,8
PAT_101_1041_898_mask.png,0.2094,8
PAT_1020_111_593_mask.png,0.1058,8
PAT_1021_112_40_mask.png,0.2763,8
PAT_1022_114_756_mask.png,0.2463,8
PAT_1022_115_132_mask.png,0.5907,8
PAT_1026_124_346_mask.png,0.0842,8
PAT_1027_128_854_mask.png,0.8405,8
PAT_1029_135_239_mask.png,0.1474,8
PAT_1029_135_983_mask.png,0.3137,8
PAT_1031_148_66_mask.png,0.585,8
PAT_1033_153_301_mask.png,0.0645,8
PAT_1034_161_203_mask.png,0.4721,8
PAT_1035_165_800_mask.png,0.6204,8
PAT_1036_169_687_mask.png,0.7267,8
PAT_1042_187_746_mask.png,0.5556,8
PAT_104_1754_276_mask.png,0.059,8
PAT_104_1756_151_mask.png,0.186,8
PAT_1051_220_356_mask.png,0.1397,8
PAT_1057_242_297_mask.png,0.1066,8
PAT_1061_254_813_mask.png,0.1734,8
PAT_1062_264_741_mask.png,0.1544,8
PAT_1063_268_919_mask.png,0.1681,8
PAT_1063_270_593_mask.png,0.4618,8
PAT_1063_271_448_mask.png,0.0549,8
PAT_1064_272_668_mask.png,0.1848,8
PAT_1064_273_980_mask.png,0.1894,8
PAT_1065_276_231_mask.png,0.105,8
PAT_1065_278_954_mask.png,0.1411,8
PAT_1066_281_698_mask.png,0.1551,8
PAT_1066_281_99_mask.png,0.0554,8
PAT_1067_284_533_mask.png,0.1414,8
PAT_1068_285_845_mask.png,0.1557,8
PAT_106_158_249_mask.png,0.2683,8
PAT_106_158_270_mask.png,0.2558,8
PAT_106_159_325_mask.png,0.1666,8
PAT_1070_304_845_mask.png,0.591,8
PAT_1070_305_907_mask.png,0.1012,8
PAT_1070_308_751_mask.png,0.2123,8
PAT_1071_312_841_mask.png,0.2757,8
PAT_1071_314_500_mask.png,0.4569,8
PAT_1074_322_174_mask.png,0.3129,8
PAT_1074_322_242_mask.png,0.2797,8
PAT_1074_322_662_mask.png,0.5832,8
PAT_1074_322_864_mask.png,0.0717,8
PAT_1075_324_177_mask.png,0.1451,8
PAT_107_160_609_mask.png,0.0971,8
PAT_1082_342_705_mask.png,0.1807,8
PAT_1088_373_781_mask.png,0.6907,8
PAT_1089_375_60_mask.png,0.1668,8
PAT_1089_375_677_mask.png,0.0565,8
PAT_108_161_423_mask.png,0.1518,8
PAT_108_161_575_mask.png,0.135,8
PAT_108_161_878_mask.png,0.1105,8
PAT_108_162_526_mask.png,0.4442,8
PAT_108_162_660_mask.png,0.1538,8
